Test,Unit,n_obs,n_missing,mean,median,std,p10,p25,p75,p90,min,max,first_sample,last_sample,n_years,n_sites,lat_min,lat_max,lon_min,lon_max,frac_neg,frac_zero,frac_high
Simazine,mg/l,9035,0,0.00015023101494189166,2.4e-05,0.003805195236358038,6e-06,1e-05,5e-05,0.00011,3e-06,0.2,2000-01-04 09:05:00,2016-04-19 13:02:00,17,129,50.15131692651347,55.156662902851565,-5.336791163641459,1.3714352864107948,0.0,0.0,0.010071942446043165
Phosphate :- {TIP},mg/l,8990,0,3.5222918275862067,2.2735000000000003,21.292954717101114,0.433,0.9,5.1,7.27,0.00015,2000.0,2000-01-05 10:20:00,2025-09-19 09:50:00,26,307,50.18636505455157,55.684961671285215,-5.179031010412471,1.3217017092547672,0.0,0.0,0.010011123470522803
Trifluralin,mg/l,8840,0,5.9874773755656094e-05,3e-05,0.001706036707844798,1e-05,1.1e-05,5e-05,0.0001,9e-07,0.16,2000-01-04 10:51:00,2017-10-19 11:15:00,18,137,50.15131692651347,55.156662902851565,-5.322347051421597,0.7123807159998174,0.0,0.0,0.008710407239819005
Streptococci : Faecal : Confirmed : MF,no/100ml,8518,0,8489.509861468654,300.0,113240.96473195146,6.0,30.0,2100.0,13000.0,0.0,9999999.99999,2002-09-10 11:25:00,2025-08-20 09:00:00,24,104,50.35101329503,54.86896156646967,-5.072011478647658,1.2847705587368599,0.0,0.0810049307349143,0.009744071378257807
Dichlorvos,mg/l,8468,0,5.72893363249881e-05,1.2e-05,0.001061211561856635,8e-06,1e-05,3e-05,3e-05,5e-07,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,126,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.008384506376948512
Vanadium,mg/l,8315,0,0.0022076343956704734,0.002,0.004416778629029279,0.001,0.00174,0.002,0.002,0.001,0.2,2000-01-05 10:55:00,2025-09-12 10:10:00,26,148,50.95039144045738,55.76539182754644,-2.9938214220497463,1.1650600695103228,0.0,0.0,0.006253758268190018
Endosulfan B,mg/l,8084,0,4.491917367639782e-05,2e-05,0.00029511449978891064,5e-06,1e-05,9.5e-05,0.0001,6e-07,0.025,2000-01-04 10:51:00,2017-10-19 11:15:00,18,121,50.15131692651347,55.156662902851565,-5.322347051421597,1.425529471241605,0.0,0.0,0.007174666006927264
Escherichia coli : Confirmed : MF,no/100ml,8041,0,124864.63785598682,1000.0,867878.8095012981,10.0,100.0,11818.0,150000.0,0.0,42000000.0,2001-03-15 11:05:00,2025-09-30 12:25:00,20,173,50.07190907067018,54.86896156646967,-5.298094817195826,1.662915728621367,0.0,0.06516602412635245,0.010073373958462879
Fenitrothion,mg/l,7932,0,4.795314044377207e-05,1e-05,0.0010646999859389634,2e-06,5e-06,2e-05,3e-05,1e-06,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,122,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.004412506303580433
Triphenyl Tin as Cation,mg/l,7771,0,0.00016574245914296743,1e-05,0.0033305873420709205,1e-06,1e-06,1e-05,4e-05,5e-07,0.16,2000-01-05 11:45:00,2025-04-11 12:06:00,26,122,50.15131692651347,55.70162646479321,-5.322347051421597,1.344966801706201,0.0,0.0,0.010037318234461459
Azinphos-methyl,mg/l,7109,0,6.354450696300456e-05,1.5e-05,0.0011256350127930455,6e-06,1e-05,4.5e-05,5e-05,1e-06,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,117,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.007736671824447883
Parathion-ethyl :- {Parathion},mg/l,6953,0,5.68561340428592e-05,1e-05,0.001118950273403584,8e-06,8e-06,4e-05,4e-05,4e-06,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,106,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.006759672083992521
Endosulfan A,mg/l,6935,0,3.0115904830569576e-05,2e-05,0.00011022699409510438,5e-06,5e-06,2.5e-05,7.5e-05,5e-07,0.00555,2000-01-04 10:51:00,2017-10-19 11:15:00,18,116,50.15131692651347,55.156662902851565,-5.322347051421597,1.425529471241605,0.0,0.0,0.007498197548666186
Azinphos-ethyl,mg/l,6790,0,5.329204712812956e-05,2e-05,0.0009802074933250738,1e-05,1e-05,3e-05,3e-05,3e-06,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,98,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.007069219440353461
Fenthion,mg/l,6787,0,9.191844703108885e-05,2e-05,0.0021156351833933208,1e-05,1e-05,4e-05,5e-05,1e-06,0.1,2000-01-04 10:51:00,2016-04-19 13:02:00,17,101,50.15131692651347,55.156662902851565,-5.336791163641459,0.5060212042124568,0.0,0.0,0.009577132753794017
Parathion-methyl,mg/l,6745,0,5.868154188287619e-05,1.5e-05,0.001143545755521885,6e-06,1e-05,3e-05,3.5000000000000004e-05,3e-06,0.05,2000-01-04 10:51:00,2016-04-19 13:02:00,17,102,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.010081541882876204
"Copper, Dissolved",mg/l,6190,0,0.007638633279483028,0.0057599999999999,0.010907787233345153,0.0022690000000000006,0.0035099999999999,0.00911,0.0141999999999999,0.000158,0.644,2000-01-04 12:26:00,2025-08-30 06:34:00,26,400,50.21740141303312,55.033726738213495,-5.2889659334764065,1.366357561239748,0.0,0.0,0.009854604200323101
"HCH : Total (Alpha, Beta, Gamma)",mg/l,6183,0,5.1219003719875935e-05,4.5e-05,0.00010191377195033391,2.4e-05,3.555e-05,6e-05,7.000000000000001e-05,0.0,0.0060599999999999,2000-01-06 09:20:00,2025-09-12 10:11:00,22,135,50.15131692651347,55.76539182754644,-5.322347051421597,0.7123807159998174,0.0,0.00032346757237586933,0.010027494743651949
Silver,mg/l,6130,0,0.003994412104404567,0.001,0.1233887653775932,0.0008,0.001,0.001,0.001,7e-07,8.6,2000-01-06 10:55:00,2025-09-12 09:30:00,26,111,50.537916830835144,54.61001825988097,-4.913559458713377,1.7225443775725848,0.0,0.0,0.010114192495921697
Sulphate as SO4,mg/l,5712,0,166.17643907563024,132.0,283.47573409319597,50.81,89.975,174.0,201.0,3.72,3890.0,2000-01-05 10:40:00,2025-08-19 14:05:00,20,122,50.21740141303312,55.35311150891842,-5.179031010412471,1.536051698176628,0.0,0.0,0.01015406162464986
Manganese,mg/l,5611,0,0.12115665122081626,0.045,2.4267747603358902,0.01,0.023,0.0765999999999999,0.121,0.0017,174.0,2000-01-05 14:30:00,2025-08-19 14:05:00,26,175,50.15131692651347,55.36993057913782,-5.207802483371703,1.336201758065104,0.0,0.0,0.010158617002316878
"Zinc, Dissolved",mg/l,5514,0,0.04828182081973158,0.027,0.1642922777676063,0.012,0.0177,0.045,0.0802,0.0026,5.23,2000-01-04 13:25:00,2025-09-30 13:01:00,23,261,50.21740141303312,54.9925845642275,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.00961189698948132
"Coliforms, Total : Presumptive : MF",no/100ml,5502,0,1083237.8191182516,24000.0,5557402.210160451,100.0,800.0,580000.0,3200000.0,0.0,330000000.0,2000-01-04 12:45:00,2022-09-28 08:01:00,23,227,50.07190907067018,54.882101117860536,-5.298094817195826,1.2847705587368599,0.0,0.023082515448927664,0.003816793893129771
Flow : Daily total,m3/d,5413,0,11905.145129809718,3151.9125,34988.7155382126,318.95121400000005,1425.82499,6711.57598,20817.91865600002,0.0,378000.0,2001-02-05 10:00:00,2025-09-10 08:27:00,22,142,50.75651622422836,55.603174727093226,-4.465617498299041,0.8190044374760037,0.0,0.010345464622205801,0.010160724182523555
"Drins : Total (Aldrin, Dieldrin, Endrin, Isodrin)",mg/l,5273,0,5.340623933244829e-05,4e-05,8.729027648094308e-05,3e-05,3.5000000000000004e-05,6e-05,7.460000000000036e-05,2.2e-06,0.005534,2000-01-11 15:10:00,2025-09-12 10:11:00,22,124,50.15131692651347,55.76539182754644,-5.322347051421597,0.7123807159998174,0.0,0.0,0.008723686705860042
"Optical Density at 600 nm, Filtered",abs/cm,5272,0,0.02014904210925645,0.005,1.0328697204394635,0.002,0.003,0.007,0.0109,0.0,75.0,2000-01-04 10:51:00,2025-09-08 07:00:00,26,45,52.05582606562789,53.73381195671225,-2.9441465728307104,-1.046339241239667,0.0,0.0032245827010622154,0.010053110773899848
"Optical Density at 550 nm, Filtered",abs/cm,5272,0,0.007530779590288315,0.006,0.006637132524913867,0.003,0.0041,0.009,0.0135,0.0,0.193,2000-01-04 10:51:00,2025-09-08 07:00:00,26,45,52.05582606562789,53.73381195671225,-2.9441465728307104,-1.046339241239667,0.0,0.0015174506828528073,0.010053110773899848
"Optical Density at 500 nm, Filtered",abs/cm,5246,0,0.010789525352649638,0.009,0.00816063592073073,0.005,0.0065,0.0126,0.0183,0.0,0.201,2000-01-04 10:51:00,2025-09-08 07:00:00,26,45,52.05582606562789,53.73381195671225,-2.9441465728307104,-1.046339241239667,0.0,0.001143728555089592,0.010102935569958064
"Trichlorobenzene : Total (123-, 124-, 135-)",mg/l,5209,0,0.00012522292186599725,0.00015,9.850991570082779e-05,6e-05,8.999999999999999e-05,0.00015,0.00015,7e-06,0.00441,2000-01-06 09:20:00,2016-11-23 12:32:00,17,117,50.15131692651347,55.76539182754644,-5.322347051421597,0.7123807159998174,0.0,0.0,0.010174697638702246
"Nitrogen, Kjeldahl as N",mg/l,5142,0,16.809106796966162,9.1,17.15626892357059,1.04,2.4,29.7,41.99000000000005,1e-05,149.0,2000-02-23 15:00:00,2025-08-11 10:54:00,24,125,50.15131692651347,54.791101043638264,-5.0478486193650856,1.425529471241605,0.0,0.0,0.009918319719953326
Alkalinity to pH 4.5 as CaCO3,mg/l,5091,0,158.65881226085247,137.0,275.5276197696054,58.6,96.35,186.0,250.0,5.0,18100.0,2000-01-04 10:45:00,2025-10-13 11:30:00,26,616,50.07190907067018,55.70162646479321,-5.316694512167972,1.366357561239748,0.0,0.0,0.010017678255745434
"Nickel, Dissolved",mg/l,4911,0,0.00954802728568519,0.005,0.019275890952690843,0.0038599999999999,0.005,0.007355,0.015,0.000414,0.486,2000-01-04 12:26:00,2025-09-29 09:21:00,26,263,50.21740141303312,55.553795116534175,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.010181225819588679
Cyanide as CN,mg/l,4852,0,0.048244940230832645,0.005,0.900598662671004,0.005,0.005,0.0075,0.01,1e-05,38.6,2000-01-11 12:50:00,2025-09-08 14:17:00,26,71,50.38773405295359,55.70162646479321,-4.097549675215906,1.509556185828662,0.0,0.0,0.010098928276999175
2-Chlorophenol,mg/l,4852,0,0.0003785034006595216,0.0001,0.010494853927886932,2e-05,0.0001,0.0001,0.0001,2e-05,0.711,2000-01-05 10:55:00,2017-09-13 11:00:00,16,111,50.515728209386374,54.99106705638183,-3.657405622795426,1.1357957507980339,0.0,0.0,0.009068425391591096
HCH -delta,mg/l,4842,0,1.0403738124741802e-05,5e-06,7.670121558545656e-05,5e-06,5e-06,5e-06,2.5e-05,1e-06,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,17,136,50.31850421305936,54.97725957729312,-5.207802483371703,1.425529471241605,0.0,0.0,0.007641470466749277
PCB - 028,mg/l,4828,0,9.458036454018227e-06,5e-06,1.8013751268400637e-05,5e-06,5e-06,5e-06,2.5e-05,1e-06,0.001,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.007870753935376968
"Aluminium, Dissolved",mg/l,4826,0,0.054418124740986326,0.0211,1.237477828193245,0.01,0.0107,0.0278,0.062,3e-05,85.543,2000-10-27 15:15:00,2025-08-21 11:45:00,26,166,50.21740141303312,55.36993057913782,-5.179031010412471,0.6394318786015484,0.0,0.0,0.010153336096145877
PCB - 101,mg/l,4825,0,7.584746113989637e-06,5e-06,1.671689618371172e-05,4e-06,5e-06,5e-06,2e-05,3e-07,0.001,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.006010362694300518
PCB - 052,mg/l,4825,0,1.51619585492228e-05,5e-06,0.0003602579250713278,5e-06,5e-06,5e-06,2.5e-05,7e-07,0.025,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.005803108808290156
PCB - 118,mg/l,4810,0,9.756819126819126e-06,5e-06,1.8001113856924637e-05,5e-06,5e-06,1e-05,2.5e-05,5e-07,0.001,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.008316008316008316
PCB - 138,mg/l,4806,0,8.052103620474407e-06,5e-06,1.6260466852929304e-05,5e-06,5e-06,5e-06,2e-05,5e-07,0.001,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.007906783187682065
PCB - 153,mg/l,4797,0,8.79816552011674e-06,5e-06,1.668376216275492e-05,5e-06,5e-06,1e-05,2.5e-05,2.0000000000000002e-07,0.001,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.007713154054617469
PCB - 180,mg/l,4791,0,1.6379104571070756e-05,8e-06,0.0003623832929404314,5e-06,5e-06,1e-05,2.5e-05,4.0000000000000003e-07,0.025,2000-01-04 10:51:00,2017-10-19 11:15:00,18,79,50.343820147642,55.156662902851565,-4.240149177360908,1.344966801706201,0.0,0.0,0.008766437069505322
"2,4-Dichlorophenol",mg/l,4739,0,0.0005355526060350271,0.0001,0.013064232624305581,4e-05,0.0001,0.0001,0.0002379999999999,2e-05,0.879,2000-01-05 10:55:00,2017-09-13 11:00:00,16,102,50.515728209386374,54.99106705638183,-3.657405622795426,0.7449935996705789,0.0,0.0,0.009284659210803967
Phenol,mg/l,4659,0,0.009332187465121268,0.0002,0.1183550965581768,0.0002,0.0002,0.00048799999999994995,0.0010019999999999981,4e-05,5.696,2000-01-05 10:55:00,2018-11-26 13:20:00,19,117,50.366968246897855,54.99106705638183,-4.112920875884999,1.3428963545646073,0.0,0.0,0.0034342133505044
"Optical Density at 650 nm, Filtered",abs/cm,4435,0,0.0039476910935738446,0.0033,0.0036425636135866348,0.0011,0.002,0.005,0.0068,0.0,0.168,2000-01-04 10:51:00,2025-09-08 07:00:00,26,43,52.05582606562789,53.680020836129444,-2.9441465728307104,-1.046339241239667,0.0,0.0033821871476888386,0.010146561443066516
"1,1,2-Trichloroethane",mg/l,4332,0,0.0003370106186518929,0.0001,0.0013344056950985398,0.0001,0.0001,0.0005,0.0005,0.0001,0.03,2000-01-10 10:15:00,2016-04-19 13:02:00,17,80,50.15131692651347,55.156662902851565,-5.322347051421597,0.7123807159998174,0.0,0.0,0.009002770083102494
"Flow : Full treatment, 24 Hour",ml,4304,0,54.00924771607807,10.07865,434.8669765506392,0.51,2.0,34.5,80.95845000000006,0.0,24986.0,2001-01-03 08:05:00,2025-08-20 10:27:00,25,37,53.26297920265686,54.89993483429844,-3.1643326385362145,-1.9828519650244336,0.0,0.003949814126394052,0.010223048327137546
"Chromium, Dissolved",mg/l,4236,0,0.003939743862134082,0.0009325,0.022695146863375877,0.0005,0.0005,0.0026425,0.007180000000000001,0.000101,1.06,2000-01-04 12:26:00,2025-08-19 14:05:00,26,245,50.21740141303312,54.9925845642275,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.010151085930122757
"Lead, Dissolved",mg/l,4201,0,0.0021645936681742367,0.00123,0.005359023076203696,0.0004,0.000665,0.002,0.0028599999999999,4.5e-05,0.114,2000-01-04 12:26:00,2025-08-19 14:05:00,23,247,50.21740141303312,54.9925845642275,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.009997619614377529
Toluene :- {Methylbenzene},mg/l,4121,0,0.003148162824557145,0.002,0.01815841581700982,0.0001,0.00022,0.004,0.004,0.0,0.821,2000-01-04 11:30:00,2019-12-06 10:40:00,20,95,50.515728209386374,54.89911946272158,-3.657405622795426,1.1650600695103228,0.0,0.0002426595486532395,0.01019170104343606
"2,4,6-Trichlorophenol",mg/l,3964,0,0.0006326966422805215,0.0001,0.004105958903898787,0.0001,0.0001,0.0002,0.0006514000000000005,1.0000000000000001e-07,0.12,2000-01-05 10:55:00,2025-09-04 09:52:00,26,95,50.515728209386374,54.99106705638183,-3.657405622795426,1.1357957507980339,0.0,0.0,0.008829465186680121
Diazinon,mg/l,3888,0,0.000380374701646088,3e-05,0.005859712496509252,1e-05,2e-05,0.000101,0.0007036000000000003,1e-06,0.347,2000-01-04 10:51:00,2025-09-04 09:52:00,26,77,50.23036050456475,54.97725957729312,-5.336791163641459,0.5060212042124568,0.0,0.0,0.010030864197530864
Benzene,mg/l,3851,0,0.0020058631524279406,0.0001,0.009087478030797609,0.0001,0.0001,0.003,0.003,0.0,0.3,2000-01-04 11:30:00,2025-07-28 13:00:00,26,89,50.515728209386374,55.70162646479321,-3.657405622795426,1.1055377370828707,0.0,0.00025967281225655674,0.010127239678005712
"Carbon, Organic, Dissolved as C :- {DOC}",mg/l,3847,0,11.163535482193916,9.31,9.704870586092301,6.21,7.37,12.2,16.3,0.2,354.0,2000-01-04 10:45:00,2025-09-30 13:00:00,17,214,50.21740141303312,55.09773476677459,-5.179031010412471,1.1357957507980339,0.0,0.0,0.010137769690668054
"Cadmium, Dissolved",mg/l,3804,0,0.00020760607255520302,0.0001,0.0013137600278266756,0.0001,0.0001,0.0001,0.0001189999999999,1.05e-05,0.0327999999999999,2000-01-04 13:25:00,2025-08-19 14:05:00,21,207,50.21740141303312,54.9925845642275,-5.2889659334764065,1.1357957507980339,0.0,0.0,0.008675078864353312
2-Methylphenol :- {o-Cresol},mg/l,3787,0,0.00026561383681013913,0.0001,0.0031228525048445665,0.0001,0.0001,0.0001,0.000205,2e-05,0.146,2000-01-05 10:55:00,2017-09-13 11:00:00,14,95,50.515728209386374,54.99106705638183,-3.657405622795426,1.1357957507980339,0.0,0.0,0.010034327964087668
4-Methylphenol :- {p-Cresol},mg/l,3652,0,0.0068483920728368,0.0001,0.20336029498319802,0.0001,0.0001,0.0001,0.0006689,2e-05,8.91,2000-01-05 10:55:00,2017-09-13 11:00:00,14,103,50.366968246897855,54.99106705638183,-4.112920875884999,1.3428963545646073,0.0,0.0,0.010131434830230011
"Optical Density at 450 nm, Filtered",abs/cm,3644,0,0.018494399012074645,0.015050000000000001,0.012557877507996997,0.0092,0.012,0.0205,0.03,0.0,0.187,2000-01-04 10:51:00,2025-08-29 10:40:00,26,43,52.05582606562789,53.680020836129444,-2.9441465728307104,-1.046339241239667,0.0,0.0013721185510428102,0.009604829857299671
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,3589,0,0.004763765115631095,0.0001,0.018575998997122,0.0001,0.0001,0.003,0.003,0.0,0.1,2000-01-04 11:30:00,2019-12-06 10:40:00,20,84,50.515728209386374,54.9925845642275,-3.657405622795426,1.1055377370828707,0.0,0.00027862914460852607,0.0
"Detergents, Anionic",mg/l,3479,0,4.959740442655936,0.122,278.0477063254892,0.05,0.06805,0.215,0.4,0.048,16400.0,2000-01-04 13:25:00,2025-08-14 11:07:00,26,112,50.496427878485065,55.30484686069674,-4.341020105640102,1.1872866358928165,0.0,0.0,0.009198045415349238
3-Methylphenol :- {m-Cresol},mg/l,3465,0,0.0012382185858585855,0.0001,0.06187154515848579,4e-05,0.0001,0.0001,0.0001,2e-05,3.64,2000-01-05 10:55:00,2017-09-13 11:00:00,14,97,50.515728209386374,54.99106705638183,-3.657405622795426,1.1357957507980339,0.0,0.0,0.007503607503607504
"Optical Density at 400 nm, Filtered",abs/cm,3417,0,0.03315443371378402,0.027,0.026970815475092023,0.0184,0.022,0.035,0.052,0.0,1.03,2000-01-04 10:51:00,2025-08-29 10:40:00,26,43,52.05582606562789,53.680020836129444,-2.9441465728307104,-1.046339241239667,0.0,0.001170617500731636,0.010242903131401814
Propetamphos,mg/l,3395,0,0.00010366659793814372,4e-05,0.0013253670908385956,5e-06,1e-05,5e-05,5e-05,1e-06,0.05,2000-01-04 10:51:00,2025-09-04 09:52:00,26,66,50.479527090135335,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.009720176730486009
Mevinphos,mg/l,3353,0,9.89740530867876e-05,3e-05,0.00047109047971525273,2e-05,2e-05,6.6e-05,0.00033,4e-06,0.025,2000-01-04 10:51:00,2014-02-24 11:30:00,15,70,50.515728209386374,54.97725957729312,-4.240149177360908,0.7123807159998174,0.0,0.0,0.010140172979421413
Cyfluthrin,mg/l,3352,0,2.7365035799522583e-05,2e-05,4.933683531670462e-05,5e-06,1e-05,4e-05,5e-05,0.0,0.000911,2000-01-06 09:20:00,2025-09-12 10:10:00,26,59,50.479527090135335,54.02245377334156,-3.764528321352169,0.7123807159998174,0.0,0.0002983293556085919,0.007756563245823389
"Dimethylbenzene : Sum of isomers (1,3- 1,4-)",mg/l,3337,0,0.009883738687443811,0.0003,0.04049984868537674,0.0002,0.0002,0.003,0.003,0.0,0.309,2000-01-04 11:30:00,2019-12-06 10:40:00,20,86,50.515728209386374,54.9925845642275,-3.657405622795426,1.1650600695103228,0.0,0.00029967036260113877,0.0005993407252022775
"Arsenic, Dissolved",mg/l,3275,0,0.0025375725190839647,0.00112,0.008012684987510723,0.001,0.001,0.0022,0.005315999999999999,0.0,0.257,2000-01-04 12:26:00,2025-08-19 14:05:00,17,97,50.21740141303312,54.9925845642275,-5.2889659334764065,1.1357957507980339,0.0,0.0003053435114503817,0.010076335877862596
"Detergents, Non-ionic",mg/l,3188,0,0.06329960759096612,0.025,0.6435386441873321,0.025,0.025,0.035,0.065,2.5e-05,25.0,2000-01-04 13:25:00,2025-06-12 15:35:00,15,69,50.802932399590716,54.9925845642275,-2.9938214220497463,1.1357957507980339,0.0,0.0,0.010037641154328732
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,3172,0,0.00018018625472887763,0.0001,0.0020115679253312818,0.0001,0.0001,0.0001,0.0001,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,87,50.515728209386374,54.99106705638183,-3.657405622795426,1.3428963545646073,0.0,0.0,0.006305170239596469
Permethrin (cis- and trans-),mg/l,3090,0,3.725254368932019e-05,1e-05,0.00046700233516205485,5.984000000000006e-06,1e-05,2e-05,5e-05,2e-06,0.025,2000-01-06 09:20:00,2025-09-12 10:10:00,26,36,50.70698506667961,53.867332746942346,-3.2238252402734306,0.7123807159998174,0.0,0.0,0.010032362459546926
Triazophos,mg/l,3080,0,3.156922077922068e-05,3e-05,0.00018446228037595453,1e-05,1.4e-05,3.5000000000000004e-05,5e-05,5e-07,0.01,2000-01-04 10:51:00,2014-02-24 11:30:00,15,69,50.515728209386374,54.89911946272158,-4.240149177360908,0.7123807159998174,0.0,0.0,0.010064935064935065
4-Chloro-3-methylphenol :- {p-Chloro-m-cresol},mg/l,3045,0,0.00016848161576354654,0.0001,0.0020523523302633014,2e-05,4e-05,0.0001,0.0001,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,16,73,50.515728209386374,54.89911946272158,-3.657405622795426,0.7449935996705789,0.0,0.0,0.010180623973727421
Chlorfenvinphos,mg/l,3035,0,0.00012117690280065871,2e-05,0.001652446486019989,5e-06,1e-05,5e-05,0.0001,1e-06,0.05,2000-01-04 10:51:00,2025-09-04 09:52:00,26,67,50.479527090135335,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.008237232289950576
Mecoprop,mg/l,3031,0,0.008823931586935,8.3e-05,0.25435992307630967,4e-05,4e-05,0.0004555,0.00354,5e-06,13.5,2000-01-04 10:51:00,2025-09-04 09:52:00,26,56,50.515728209386374,54.89911946272158,-3.657405622795426,0.7123807159998174,0.0,0.0,0.01022764764104256
DDT : Sum of components,mg/l,2911,0,3.766458261765713e-05,3.5000000000000004e-05,3.7909229889481894e-05,2.5e-05,2.5e-05,4.5e-05,4.5e-05,6e-06,0.0016799999999999,2003-01-08 10:10:00,2016-11-23 12:32:00,14,74,50.15131692651347,55.70162646479321,-5.322347051421597,0.7123807159998174,0.0,0.0,0.0037787701820680177
Cyanide : Free as CN,mg/l,2889,0,0.00631650398061613,0.005,0.011127900146280224,0.005,0.005,0.005,0.006,1e-05,0.386,2000-01-05 08:05:00,2025-05-20 12:20:00,26,59,50.515728209386374,54.61001825988097,-3.657405622795426,1.366357561239748,0.0,0.0,0.009345794392523364
Nonylphenol,mg/l,2861,0,0.0012319019573575635,0.000625,0.002264112640047158,5e-05,0.0003,0.0013,0.00299,5.8e-06,0.07,2000-01-06 09:20:00,2025-09-12 12:07:00,26,30,51.75052398489042,54.60886453021771,-3.008833185204883,0.6490955044001634,0.0,0.0,0.010136315973435861
"Optical Density at 700 nm, Filtered",abs/cm,2693,0,0.002157727441515039,0.0017,0.0025965616117366824,0.0006,0.001,0.0024,0.004,0.0,0.0754,2000-01-04 10:51:00,2025-08-29 10:40:00,26,39,52.05582606562789,53.680020836129444,-2.9441465728307104,-1.046339241239667,0.0,0.030820646119569254,0.010025993316004456
HCH -epsilon,mg/l,2689,0,9.529081442915508e-06,5e-06,5.839760748699403e-05,5e-06,5e-06,1.05e-05,1.5e-05,2.1e-06,0.003,2001-01-16 09:45:00,2017-10-19 11:15:00,16,55,50.31850421305936,53.36012057636917,-5.207802483371703,1.425529471241605,0.0,0.0,0.008553365563406471
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2681,0,0.0016637339350988414,5e-05,0.02593571761428298,4e-05,4e-05,0.0002,0.00115,5e-06,1.3,2000-01-04 10:51:00,2025-09-04 09:52:00,26,55,50.515728209386374,54.89911946272158,-3.657405622795426,0.7123807159998174,0.0,0.0,0.010070869078701977
"Coliforms, Faecal : Presumptive : MF",no/100ml,2619,0,432962.3898280374,12613.0,1587697.545323747,62.80000000000001,735.5,100000.0,610000.0,2.0,9999999.99999,2000-01-04 12:45:00,2014-02-19 12:59:00,15,222,50.07190907067018,54.882101117860536,-5.298094817195826,1.6656041307135583,0.0,0.0,0.0
"Oxygen, Dissolved as O2",mg/l,2617,0,8.124587313717997,8.3,2.380424341613557,4.976,6.6,9.79,10.952000000000004,0.0321,18.6,2000-01-05 00:01:00,2025-09-19 09:50:00,26,594,50.17519556939362,55.70162646479321,-5.316694512167972,1.344966801706201,0.0,0.0,0.009935040122277417
Cypermethrin,mg/l,2614,0,3.9533940321345605e-05,2e-05,0.0001027462002739186,9.054000000000002e-06,1e-05,4e-05,6.591000000000008e-05,1e-06,0.00212,2000-01-06 09:20:00,2025-07-23 09:50:00,26,57,50.479527090135335,54.02245377334156,-3.764528321352169,0.5060212042124568,0.0,0.0,0.010328997704667177
"Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}",mg/l,2601,0,0.014551458673587082,0.0005,0.061269271661603536,0.0003,0.0003,0.003,0.003,1e-08,0.336,2000-01-10 10:15:00,2019-12-06 10:40:00,20,43,50.824833125636445,54.9925845642275,-2.9144419780784014,1.1055377370828707,0.0,0.0,0.00038446751249519417
Magnesium,mg/l,2539,0,20.676467900748328,17.9,15.896433870001994,5.06,9.14,25.2,35.4,0.1,137.0,2000-01-04 10:45:00,2025-08-19 14:05:00,16,257,50.20470844114314,55.09340529039847,-5.179031010412471,1.366357561239748,0.0,0.0,0.010240252067743205
