Test,Unit,SourceYear,n_obs
"1,1,1,2-Tetrachloroethane",mg/l,2000,3
"1,1,1,2-Tetrachloroethane",mg/l,2001,28
"1,1,1,2-Tetrachloroethane",mg/l,2002,47
"1,1,1,2-Tetrachloroethane",mg/l,2003,53
"1,1,1,2-Tetrachloroethane",mg/l,2004,3
"1,1,1,2-Tetrachloroethane",mg/l,2006,14
"1,1,1,2-Tetrachloroethane",mg/l,2007,16
"1,1,1,2-Tetrachloroethane",mg/l,2008,5
"1,1,1,2-Tetrachloroethane",mg/l,2013,6
"1,1,1,2-Tetrachloroethane",mg/l,2014,30
"1,1,1-Trichloroethane",mg/l,2000,526
"1,1,1-Trichloroethane",mg/l,2001,753
"1,1,1-Trichloroethane",mg/l,2002,999
"1,1,1-Trichloroethane",mg/l,2003,989
"1,1,1-Trichloroethane",mg/l,2004,915
"1,1,1-Trichloroethane",mg/l,2005,808
"1,1,1-Trichloroethane",mg/l,2006,695
"1,1,1-Trichloroethane",mg/l,2007,649
"1,1,1-Trichloroethane",mg/l,2008,638
"1,1,1-Trichloroethane",mg/l,2009,409
"1,1,1-Trichloroethane",mg/l,2010,381
"1,1,1-Trichloroethane",mg/l,2011,389
"1,1,1-Trichloroethane",mg/l,2012,365
"1,1,1-Trichloroethane",mg/l,2013,389
"1,1,1-Trichloroethane",mg/l,2014,413
"1,1,1-Trichloroethane",mg/l,2015,331
"1,1,1-Trichloroethane",mg/l,2016,26
"1,1,2-Trichloroethane",mg/l,2000,93
"1,1,2-Trichloroethane",mg/l,2001,131
"1,1,2-Trichloroethane",mg/l,2002,297
"1,1,2-Trichloroethane",mg/l,2003,425
"1,1,2-Trichloroethane",mg/l,2004,305
"1,1,2-Trichloroethane",mg/l,2005,313
"1,1,2-Trichloroethane",mg/l,2006,321
"1,1,2-Trichloroethane",mg/l,2007,302
"1,1,2-Trichloroethane",mg/l,2008,322
"1,1,2-Trichloroethane",mg/l,2009,309
"1,1,2-Trichloroethane",mg/l,2010,251
"1,1,2-Trichloroethane",mg/l,2011,248
"1,1,2-Trichloroethane",mg/l,2012,227
"1,1,2-Trichloroethane",mg/l,2013,258
"1,1,2-Trichloroethane",mg/l,2014,284
"1,1,2-Trichloroethane",mg/l,2015,227
"1,1,2-Trichloroethane",mg/l,2016,19
"1,2,3-Trichlorobenzene",mg/l,2000,508
"1,2,3-Trichlorobenzene",mg/l,2001,1051
"1,2,3-Trichlorobenzene",mg/l,2002,1224
"1,2,3-Trichlorobenzene",mg/l,2003,1290
"1,2,3-Trichlorobenzene",mg/l,2004,1274
"1,2,3-Trichlorobenzene",mg/l,2005,1195
"1,2,3-Trichlorobenzene",mg/l,2006,787
"1,2,3-Trichlorobenzene",mg/l,2007,716
"1,2,3-Trichlorobenzene",mg/l,2008,739
"1,2,3-Trichlorobenzene",mg/l,2009,533
"1,2,3-Trichlorobenzene",mg/l,2010,469
"1,2,3-Trichlorobenzene",mg/l,2011,456
"1,2,3-Trichlorobenzene",mg/l,2012,431
"1,2,3-Trichlorobenzene",mg/l,2013,452
"1,2,3-Trichlorobenzene",mg/l,2014,474
"1,2,3-Trichlorobenzene",mg/l,2015,364
"1,2,3-Trichlorobenzene",mg/l,2016,77
"1,2,3-Trichlorobenzene",mg/l,2017,26
"1,2,3-Trichlorobenzene",mg/l,2018,24
"1,2,3-Trichlorobenzene",mg/l,2019,24
"1,2,3-Trichlorobenzene",mg/l,2020,24
"1,2,3-Trichlorobenzene",mg/l,2021,24
"1,2,3-Trichlorobenzene",mg/l,2022,24
"1,2,3-Trichlorobenzene",mg/l,2023,24
"1,2,3-Trichlorobenzene",mg/l,2024,22
"1,2,3-Trichlorobenzene",mg/l,2025,16
"1,2,3-Trimethylbenzene",mg/l,2000,152
"1,2,3-Trimethylbenzene",mg/l,2001,148
"1,2,3-Trimethylbenzene",mg/l,2002,168
"1,2,3-Trimethylbenzene",mg/l,2003,157
"1,2,3-Trimethylbenzene",mg/l,2004,92
"1,2,3-Trimethylbenzene",mg/l,2005,58
"1,2,3-Trimethylbenzene",mg/l,2006,33
"1,2,3-Trimethylbenzene",mg/l,2007,18
"1,2,3-Trimethylbenzene",mg/l,2008,14
"1,2,3-Trimethylbenzene",mg/l,2009,18
"1,2,3-Trimethylbenzene",mg/l,2010,1
"1,2,3-Trimethylbenzene",mg/l,2012,1
"1,2,3-Trimethylbenzene",mg/l,2013,7
"1,2,3-Trimethylbenzene",mg/l,2014,30
"1,2,4-Trichlorobenzene",mg/l,2000,507
"1,2,4-Trichlorobenzene",mg/l,2001,1033
"1,2,4-Trichlorobenzene",mg/l,2002,1195
"1,2,4-Trichlorobenzene",mg/l,2003,1249
"1,2,4-Trichlorobenzene",mg/l,2004,1260
"1,2,4-Trichlorobenzene",mg/l,2005,1156
"1,2,4-Trichlorobenzene",mg/l,2006,740
"1,2,4-Trichlorobenzene",mg/l,2007,692
"1,2,4-Trichlorobenzene",mg/l,2008,716
"1,2,4-Trichlorobenzene",mg/l,2009,549
"1,2,4-Trichlorobenzene",mg/l,2010,480
"1,2,4-Trichlorobenzene",mg/l,2011,464
"1,2,4-Trichlorobenzene",mg/l,2012,431
"1,2,4-Trichlorobenzene",mg/l,2013,452
"1,2,4-Trichlorobenzene",mg/l,2014,474
"1,2,4-Trichlorobenzene",mg/l,2015,364
"1,2,4-Trichlorobenzene",mg/l,2016,77
"1,2,4-Trichlorobenzene",mg/l,2017,26
"1,2,4-Trichlorobenzene",mg/l,2018,24
"1,2,4-Trichlorobenzene",mg/l,2019,24
"1,2,4-Trichlorobenzene",mg/l,2020,24
"1,2,4-Trichlorobenzene",mg/l,2021,24
"1,2,4-Trichlorobenzene",mg/l,2022,24
"1,2,4-Trichlorobenzene",mg/l,2023,24
"1,2,4-Trichlorobenzene",mg/l,2024,22
"1,2,4-Trichlorobenzene",mg/l,2025,16
"1,2,4-Trimethylbenzene",mg/l,2000,152
"1,2,4-Trimethylbenzene",mg/l,2001,148
"1,2,4-Trimethylbenzene",mg/l,2002,168
"1,2,4-Trimethylbenzene",mg/l,2003,166
"1,2,4-Trimethylbenzene",mg/l,2004,92
"1,2,4-Trimethylbenzene",mg/l,2005,58
"1,2,4-Trimethylbenzene",mg/l,2006,41
"1,2,4-Trimethylbenzene",mg/l,2007,30
"1,2,4-Trimethylbenzene",mg/l,2008,18
"1,2,4-Trimethylbenzene",mg/l,2009,18
"1,2,4-Trimethylbenzene",mg/l,2010,1
"1,2,4-Trimethylbenzene",mg/l,2012,1
"1,2,4-Trimethylbenzene",mg/l,2013,7
"1,2,4-Trimethylbenzene",mg/l,2014,30
"1,2-Dichlorobenzene",mg/l,2000,127
"1,2-Dichlorobenzene",mg/l,2001,125
"1,2-Dichlorobenzene",mg/l,2002,139
"1,2-Dichlorobenzene",mg/l,2003,144
"1,2-Dichlorobenzene",mg/l,2004,78
"1,2-Dichlorobenzene",mg/l,2005,36
"1,2-Dichlorobenzene",mg/l,2006,62
"1,2-Dichlorobenzene",mg/l,2007,89
"1,2-Dichlorobenzene",mg/l,2008,49
"1,2-Dichlorobenzene",mg/l,2009,20
"1,2-Dichlorobenzene",mg/l,2010,1
"1,2-Dichlorobenzene",mg/l,2012,1
"1,2-Dichlorobenzene",mg/l,2013,7
"1,2-Dichlorobenzene",mg/l,2014,30
"1,2-Dichloroethane",mg/l,2000,595
"1,2-Dichloroethane",mg/l,2001,1115
"1,2-Dichloroethane",mg/l,2002,1304
"1,2-Dichloroethane",mg/l,2003,1271
"1,2-Dichloroethane",mg/l,2004,1273
"1,2-Dichloroethane",mg/l,2005,1150
"1,2-Dichloroethane",mg/l,2006,887
"1,2-Dichloroethane",mg/l,2007,851
"1,2-Dichloroethane",mg/l,2008,841
"1,2-Dichloroethane",mg/l,2009,527
"1,2-Dichloroethane",mg/l,2010,467
"1,2-Dichloroethane",mg/l,2011,472
"1,2-Dichloroethane",mg/l,2012,448
"1,2-Dichloroethane",mg/l,2013,473
"1,2-Dichloroethane",mg/l,2014,485
"1,2-Dichloroethane",mg/l,2015,374
"1,2-Dichloroethane",mg/l,2016,61
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2000,237
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2001,269
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2002,384
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2003,432
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2004,347
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2005,332
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2006,349
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2007,381
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2008,337
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2009,135
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2010,61
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2011,54
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2012,59
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2013,65
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2014,76
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2015,24
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2016,12
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2017,12
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2018,12
"1,2-Dimethylbenzene :- {o-Xylene}",mg/l,2019,11
"1,3,5-Trichlorobenzene",mg/l,2000,484
"1,3,5-Trichlorobenzene",mg/l,2001,1012
"1,3,5-Trichlorobenzene",mg/l,2002,1149
"1,3,5-Trichlorobenzene",mg/l,2003,1231
"1,3,5-Trichlorobenzene",mg/l,2004,1252
"1,3,5-Trichlorobenzene",mg/l,2005,1161
"1,3,5-Trichlorobenzene",mg/l,2006,742
"1,3,5-Trichlorobenzene",mg/l,2007,688
"1,3,5-Trichlorobenzene",mg/l,2008,716
"1,3,5-Trichlorobenzene",mg/l,2009,531
"1,3,5-Trichlorobenzene",mg/l,2010,446
"1,3,5-Trichlorobenzene",mg/l,2011,436
"1,3,5-Trichlorobenzene",mg/l,2012,408
"1,3,5-Trichlorobenzene",mg/l,2013,433
"1,3,5-Trichlorobenzene",mg/l,2014,450
"1,3,5-Trichlorobenzene",mg/l,2015,340
"1,3,5-Trichlorobenzene",mg/l,2016,53
"1,3,5-Trichlorobenzene",mg/l,2017,2
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2000,152
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2001,148
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2002,168
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2003,166
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2004,92
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2005,58
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2006,41
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2007,30
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2008,18
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2009,18
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2010,1
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2012,1
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2013,7
"1,3,5-Trimethylbenzene :- {Mesitylene}",mg/l,2014,30
"1,3-Dichlorobenzene",mg/l,2000,124
"1,3-Dichlorobenzene",mg/l,2001,125
"1,3-Dichlorobenzene",mg/l,2002,139
"1,3-Dichlorobenzene",mg/l,2003,153
"1,3-Dichlorobenzene",mg/l,2004,78
"1,3-Dichlorobenzene",mg/l,2005,34
"1,3-Dichlorobenzene",mg/l,2006,22
"1,3-Dichlorobenzene",mg/l,2007,29
"1,3-Dichlorobenzene",mg/l,2008,17
"1,3-Dichlorobenzene",mg/l,2009,17
"1,3-Dichlorobenzene",mg/l,2010,1
"1,3-Dichlorobenzene",mg/l,2012,1
"1,3-Dichlorobenzene",mg/l,2013,7
"1,3-Dichlorobenzene",mg/l,2014,30
"1,3-Dichloropropane",mg/l,2003,9
"1,3-Dichloropropane",mg/l,2005,18
"1,3-Dichloropropane",mg/l,2006,33
"1,3-Dichloropropane",mg/l,2007,36
"1,3-Dichloropropane",mg/l,2008,14
"1,3-Dichloropropane",mg/l,2009,13
"1,3-Dichloropropane",mg/l,2010,1
"1,3-Dichloropropane",mg/l,2012,1
"1,3-Dichloropropane",mg/l,2013,7
"1,3-Dichloropropane",mg/l,2014,30
"1,4-Dichlorobenzene",mg/l,2000,127
"1,4-Dichlorobenzene",mg/l,2001,125
"1,4-Dichlorobenzene",mg/l,2002,139
"1,4-Dichlorobenzene",mg/l,2003,144
"1,4-Dichlorobenzene",mg/l,2004,78
"1,4-Dichlorobenzene",mg/l,2005,36
"1,4-Dichlorobenzene",mg/l,2006,62
"1,4-Dichlorobenzene",mg/l,2007,89
"1,4-Dichlorobenzene",mg/l,2008,77
"1,4-Dichlorobenzene",mg/l,2009,39
"1,4-Dichlorobenzene",mg/l,2010,1
"1,4-Dichlorobenzene",mg/l,2012,1
"1,4-Dichlorobenzene",mg/l,2013,7
"1,4-Dichlorobenzene",mg/l,2014,30
"1-Chloro-2,4-dinitrobenzene",mg/l,2000,2
"1-Chloro-2,4-dinitrobenzene",mg/l,2001,13
"1-Chloro-2,4-dinitrobenzene",mg/l,2002,23
"1-Chloro-2,4-dinitrobenzene",mg/l,2003,35
"1-Chloro-2,4-dinitrobenzene",mg/l,2004,42
"1-Chloro-2,4-dinitrobenzene",mg/l,2005,30
"1-Chloro-2,4-dinitrobenzene",mg/l,2006,4
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2000,44
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2001,26
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2002,39
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2003,45
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2004,45
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2005,39
1-Chloro-2-nitrobenzene :- {o-Chloronitrobenzene},mg/l,2006,2
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2000,44
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2001,27
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2002,45
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2003,45
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2004,45
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2005,39
1-Chloro-3-nitrobenzene :- {m-Chloronitrobenzene},mg/l,2006,4
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2000,44
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2001,26
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2002,45
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2003,45
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2004,45
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2005,39
1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene},mg/l,2006,4
"2,3,5,6-Tetrachloroaniline",mg/l,2000,12
"2,3,5,6-Tetrachloroaniline",mg/l,2001,9
"2,3,5,6-Tetrachloroaniline",mg/l,2002,12
"2,3,5,6-Tetrachloroaniline",mg/l,2003,12
"2,3,5,6-Tetrachloroaniline",mg/l,2004,12
"2,3,5,6-Tetrachloroaniline",mg/l,2005,12
"2,3,5,6-Tetrachloroaniline",mg/l,2006,13
"2,3,5,6-Tetrachloroaniline",mg/l,2007,11
"2,3,5,6-Tetrachloroaniline",mg/l,2008,5
"2,3,5,6-Tetrachloroaniline",mg/l,2009,9
"2,3,5,6-Tetrachloroaniline",mg/l,2012,2
"2,3,5,6-Tetrachloroaniline",mg/l,2013,6
"2,3,5,6-Tetrachloroaniline",mg/l,2014,30
"2,3,5,6-Tetrachloroaniline",mg/l,2017,2
"2,3,5,6-Tetrachlorothioanisole",mg/l,2000,11
"2,3,5,6-Tetrachlorothioanisole",mg/l,2001,11
"2,3,5,6-Tetrachlorothioanisole",mg/l,2002,12
"2,3,5,6-Tetrachlorothioanisole",mg/l,2003,12
"2,3,5,6-Tetrachlorothioanisole",mg/l,2004,12
"2,3,5,6-Tetrachlorothioanisole",mg/l,2005,12
"2,3,5,6-Tetrachlorothioanisole",mg/l,2006,13
"2,3,5,6-Tetrachlorothioanisole",mg/l,2007,10
"2,3,5,6-Tetrachlorothioanisole",mg/l,2008,5
"2,3,5,6-Tetrachlorothioanisole",mg/l,2009,9
"2,3,5,6-Tetrachlorothioanisole",mg/l,2012,2
"2,3,5,6-Tetrachlorothioanisole",mg/l,2013,6
"2,3,5,6-Tetrachlorothioanisole",mg/l,2014,30
"2,3,5,6-Tetrachlorothioanisole",mg/l,2017,2
"2,3-Dichlorophenol",mg/l,2000,223
"2,3-Dichlorophenol",mg/l,2001,259
"2,3-Dichlorophenol",mg/l,2002,273
"2,3-Dichlorophenol",mg/l,2003,96
"2,3-Dichlorophenol",mg/l,2004,84
"2,3-Dichlorophenol",mg/l,2005,73
"2,3-Dichlorophenol",mg/l,2006,49
"2,3-Dichlorophenol",mg/l,2007,25
"2,3-Dichlorophenol",mg/l,2008,20
"2,3-Dichlorophenol",mg/l,2009,17
"2,3-Dichlorophenol",mg/l,2010,1
"2,3-Dichlorophenol",mg/l,2013,7
"2,3-Dichlorophenol",mg/l,2014,29
"2,3-Dichlorophenol",mg/l,2017,1
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2000,404
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2001,350
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2002,462
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2003,462
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2004,480
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2005,471
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2006,234
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2007,142
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2008,106
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2009,23
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2010,1
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2013,7
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2014,29
"2,3-Dimethylphenol :- {2,3-Xylenol}",mg/l,2017,1
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2000,27
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2001,39
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2002,44
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2003,66
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2004,46
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2005,47
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2006,38
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2007,19
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2008,2
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2009,6
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2013,6
"2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}",mg/l,2014,30
"2,4,5-Trichlorophenol",mg/l,2000,197
"2,4,5-Trichlorophenol",mg/l,2001,211
"2,4,5-Trichlorophenol",mg/l,2002,236
"2,4,5-Trichlorophenol",mg/l,2003,229
"2,4,5-Trichlorophenol",mg/l,2004,229
"2,4,5-Trichlorophenol",mg/l,2005,227
"2,4,5-Trichlorophenol",mg/l,2006,160
"2,4,5-Trichlorophenol",mg/l,2007,65
"2,4,5-Trichlorophenol",mg/l,2008,48
"2,4,5-Trichlorophenol",mg/l,2009,22
"2,4,5-Trichlorophenol",mg/l,2010,1
"2,4,5-Trichlorophenol",mg/l,2013,7
"2,4,5-Trichlorophenol",mg/l,2014,29
"2,4,5-Trichlorophenol",mg/l,2017,1
"2,4,6-Trichlorophenol",mg/l,2000,430
"2,4,6-Trichlorophenol",mg/l,2001,402
"2,4,6-Trichlorophenol",mg/l,2002,519
"2,4,6-Trichlorophenol",mg/l,2003,517
"2,4,6-Trichlorophenol",mg/l,2004,558
"2,4,6-Trichlorophenol",mg/l,2005,525
"2,4,6-Trichlorophenol",mg/l,2006,324
"2,4,6-Trichlorophenol",mg/l,2007,237
"2,4,6-Trichlorophenol",mg/l,2008,176
"2,4,6-Trichlorophenol",mg/l,2009,56
"2,4,6-Trichlorophenol",mg/l,2010,10
"2,4,6-Trichlorophenol",mg/l,2011,8
"2,4,6-Trichlorophenol",mg/l,2012,12
"2,4,6-Trichlorophenol",mg/l,2013,19
"2,4,6-Trichlorophenol",mg/l,2014,42
"2,4,6-Trichlorophenol",mg/l,2015,12
"2,4,6-Trichlorophenol",mg/l,2016,11
"2,4,6-Trichlorophenol",mg/l,2017,14
"2,4,6-Trichlorophenol",mg/l,2018,12
"2,4,6-Trichlorophenol",mg/l,2019,11
"2,4,6-Trichlorophenol",mg/l,2020,11
"2,4,6-Trichlorophenol",mg/l,2021,12
"2,4,6-Trichlorophenol",mg/l,2022,12
"2,4,6-Trichlorophenol",mg/l,2023,12
"2,4,6-Trichlorophenol",mg/l,2024,13
"2,4,6-Trichlorophenol",mg/l,2025,9
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2000,161
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2001,144
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2002,350
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2003,369
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2004,272
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2005,275
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2006,249
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2007,211
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2008,179
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2009,89
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2010,45
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2011,44
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2012,46
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2013,54
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2014,65
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2015,12
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2016,11
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2017,13
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2018,12
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2019,11
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2020,11
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2021,12
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2022,12
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2023,12
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2024,13
"2,4-D :- {2,4-Dichlorophenoxyacetic acid}",mg/l,2025,9
"2,4-D Butyl Ester",mg/l,2002,100
"2,4-D Butyl Ester",mg/l,2003,85
"2,4-D Butyl Ester",mg/l,2004,37
"2,4-D Butyl Ester",mg/l,2005,34
"2,4-D Butyl Ester",mg/l,2006,83
"2,4-D Butyl Ester",mg/l,2007,79
"2,4-D Butyl Ester",mg/l,2008,83
"2,4-D Butyl Ester",mg/l,2009,44
"2,4-D Butyl Ester",mg/l,2010,36
"2,4-D Butyl Ester",mg/l,2011,35
"2,4-D Butyl Ester",mg/l,2012,34
"2,4-D Butyl Ester",mg/l,2013,36
"2,4-D Butyl Ester",mg/l,2014,24
"2,4-D Esters : Total",mg/l,2010,22
"2,4-D Esters : Total",mg/l,2011,35
"2,4-D Esters : Total",mg/l,2012,34
"2,4-D Esters : Total",mg/l,2013,36
"2,4-D Esters : Total",mg/l,2014,24
"2,4-D Ethyl Ester",mg/l,2002,32
"2,4-D Ethyl Ester",mg/l,2003,1
"2,4-D Ethyl Ester",mg/l,2004,1
"2,4-D Ethyl Ester",mg/l,2010,25
"2,4-D Ethyl Ester",mg/l,2011,35
"2,4-D Ethyl Ester",mg/l,2012,34
"2,4-D Ethyl Ester",mg/l,2013,36
"2,4-D Ethyl Ester",mg/l,2014,24
"2,4-D Glycol Butyl Ester",mg/l,2002,78
"2,4-D Glycol Butyl Ester",mg/l,2003,87
"2,4-D Glycol Butyl Ester",mg/l,2004,37
"2,4-D Glycol Butyl Ester",mg/l,2005,35
"2,4-D Glycol Butyl Ester",mg/l,2006,82
"2,4-D Glycol Butyl Ester",mg/l,2007,79
"2,4-D Glycol Butyl Ester",mg/l,2008,83
"2,4-D Glycol Butyl Ester",mg/l,2009,44
"2,4-D Glycol Butyl Ester",mg/l,2010,36
"2,4-D Glycol Butyl Ester",mg/l,2011,35
"2,4-D Glycol Butyl Ester",mg/l,2012,34
"2,4-D Glycol Butyl Ester",mg/l,2013,36
"2,4-D Glycol Butyl Ester",mg/l,2014,24
"2,4-D Iso Butyl Ester",mg/l,2003,1
"2,4-D Iso Butyl Ester",mg/l,2004,1
"2,4-D Iso Butyl Ester",mg/l,2010,4
"2,4-D Iso Butyl Ester",mg/l,2011,35
"2,4-D Iso Butyl Ester",mg/l,2012,34
"2,4-D Iso Butyl Ester",mg/l,2013,36
"2,4-D Iso Butyl Ester",mg/l,2014,24
"2,4-D Iso Octyl Ester",mg/l,2002,77
"2,4-D Iso Octyl Ester",mg/l,2003,87
"2,4-D Iso Octyl Ester",mg/l,2004,37
"2,4-D Iso Octyl Ester",mg/l,2005,35
"2,4-D Iso Octyl Ester",mg/l,2006,83
"2,4-D Iso Octyl Ester",mg/l,2007,79
"2,4-D Iso Octyl Ester",mg/l,2008,83
"2,4-D Iso Octyl Ester",mg/l,2009,44
"2,4-D Iso Octyl Ester",mg/l,2010,36
"2,4-D Iso Octyl Ester",mg/l,2011,35
"2,4-D Iso Octyl Ester",mg/l,2012,34
"2,4-D Iso Octyl Ester",mg/l,2013,36
"2,4-D Iso Octyl Ester",mg/l,2014,24
"2,4-D Iso Propyl Ester",mg/l,2002,32
"2,4-D Iso Propyl Ester",mg/l,2003,1
"2,4-D Iso Propyl Ester",mg/l,2004,1
"2,4-D Iso Propyl Ester",mg/l,2010,22
"2,4-D Iso Propyl Ester",mg/l,2011,35
"2,4-D Iso Propyl Ester",mg/l,2012,34
"2,4-D Iso Propyl Ester",mg/l,2013,36
"2,4-D Iso Propyl Ester",mg/l,2014,24
"2,4-D Methyl Ester",mg/l,2002,99
"2,4-D Methyl Ester",mg/l,2003,86
"2,4-D Methyl Ester",mg/l,2004,37
"2,4-D Methyl Ester",mg/l,2005,34
